rank,prev_rank,name,league,off,def,spi
274,267,Tijuana,Mexican Primera Division Torneo Clausura,1.2,1.26,44.02
275,273,Osasuna,Spanish Segunda Division,1.14,1.2,43.97
276,268,Talleres de Córdoba,Argentina Primera Division,1.03,1.08,43.83
277,283,Odense BK,Danish SAS-Ligaen,1.25,1.32,43.74
278,279,Changchun Yatai,Chinese Super League,1.39,1.49,43.73
279,272,Hammarby,Swedish Allsvenskan,1.38,1.48,43.72
280,280,América Mineiro,Brasileiro Série A,1.13,1.2,43.61
281,281,Hamburg SV,German 2. Bundesliga,1.21,1.29,43.53
282,271,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.42,1.54,43.28
283,278,DC United,Major League Soccer,1.35,1.47,43.23
284,296,Sydney FC,Australian A-League,1.3,1.41,43.01
285,292,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.31,1.42,43.01
286,291,San Lorenzo,Argentina Primera Division,1.06,1.15,42.89
287,285,Argentinos Juniors,Argentina Primera Division,1.04,1.12,42.88
288,311,Vissel Kobe,Japanese J League,1.41,1.55,42.77
289,319,Puebla,Mexican Primera Division Torneo Clausura,1.17,1.29,42.59
290,290,Goztepe,Turkish Turkcell Super Lig,1.12,1.24,42.56
291,274,New York City FC,Major League Soccer,1.35,1.5,42.55
292,294,Vitoria Setubal,Portuguese Liga,0.98,1.07,42.49
293,286,Chaves,Portuguese Liga,1.12,1.23,42.49
294,299,Columbus Crew,Major League Soccer,1.17,1.29,42.48
295,289,Ural Sverdlovsk Oblast,Russian Premier Liga,1.19,1.32,42.45
296,293,Willem II,Dutch Eredivisie,1.68,1.88,42.27
297,298,Santa Clara,Portuguese Liga,1.09,1.22,42.23
298,306,Wigan,English League Championship,1.21,1.36,42.05
299,301,Östersunds FK,Swedish Allsvenskan,1.3,1.47,42.05
300,295,Kayserispor,Turkish Turkcell Super Lig,1.16,1.3,42.04
301,288,1. FC Union Berlin,German 2. Bundesliga,1.25,1.41,42.01
302,304,Estudiantes,Argentina Primera Division,0.99,1.11,42.01
303,305,Guangzhou RF,Chinese Super League,1.53,1.73,41.87
304,302,Vítoria,Brasileiro Série A,1.21,1.37,41.82
305,303,Bursaspor,Turkish Turkcell Super Lig,1.07,1.21,41.8
306,324,Boavista,Portuguese Liga,1.08,1.22,41.66
307,307,Sport Recife,Brasileiro Série A,1.11,1.26,41.57
308,334,FC Dallas,Major League Soccer,1.24,1.42,41.46
309,282,Rio Ave,Portuguese Liga,1.23,1.42,41.27
310,300,SV Mattersburg,Austrian T-Mobile Bundesliga,1.33,1.53,41.24
